F,66,41000,95103
M,40,76000,95102
F,58,95000,95103
F,68,60000,95105
M,85,14000,95102
M,14,0,95105
M,52,2000,94040
M,67,99000,94040
F,43,11000,94041
F,37,65000,94040
M,72,83000,94041
M,68,15000,95103
F,74,37000,95105
F,15,0,95050
F,83,0,94040
F,30,10000,95101
M,19,0,95050
M,23,89000,95105
M,1,0,95050
F,4,0,95103
M,23,64000,94041
M,79,15000,94040
F,65,70000,95102
F,96,9000,95102
F,92,56000,94041
M,17,0,95102
M,17,0,95103
F,17,0,95050
M,50,18000,95102
M,15,0,95103
M,6,0,95051
F,3,0,95050
M,44,96000,94040
F,73,12000,95102
M,55,32000,94040
F,82,10000,95102
F,33,29000,95050
M,67,81000,95101
M,31,95000,94041
M,34,61000,94040
F,22,90000,95102
M,66,84000,95103
M,71,0,94041
F,16,0,95102
F,97,69000,95103
M,48,91000,95102
F,1,0,95102
M,45,48000,94041
F,39,3000,94040
F,84,14000,95051
